Id	DeviceToolId	HandedToStaffId	HandedDate	DeptId	LocationId	StatusId	StatusDescrition	
	48298	NULL	2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48298,'2019-12-12 13:53:33',525,2)"
	48299		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48299,'2019-12-12 13:53:33',525,2)"
	48300		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48300,'2019-12-12 13:53:33',525,2)"
	48301		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48301,'2019-12-12 13:53:33',525,2)"
	48302		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48302,'2019-12-12 13:53:33',525,2)"
	48303		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48303,'2019-12-12 13:53:33',525,2)"
	48304		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48304,'2019-12-12 13:53:33',525,2)"
	48305		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48305,'2019-12-12 13:53:33',525,2)"
	48306		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48306,'2019-12-12 13:53:33',525,2)"
	48307		2019-12-12 13:53:33	NULL	525	2	NULL	"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48307,'2019-12-12 13:53:33',525,2)"
	48308		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48308,'2019-12-12 13:53:33',525,2)"
	48309		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48309,'2019-12-12 13:53:33',525,2)"
	48310		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48310,'2019-12-12 13:53:33',525,2)"
	48311		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48311,'2019-12-12 13:53:33',525,2)"
	48312		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48312,'2019-12-12 13:53:33',525,2)"
	48313		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48313,'2019-12-12 13:53:33',525,2)"
	48314		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48314,'2019-12-12 13:53:33',525,2)"
	48315		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48315,'2019-12-12 13:53:33',525,2)"
	48316		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48316,'2019-12-12 13:53:33',525,2)"
	48317		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48317,'2019-12-12 13:53:33',525,2)"
	48318		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48318,'2019-12-12 13:53:33',525,2)"
	48319		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48319,'2019-12-12 13:53:33',525,2)"
	48320		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48320,'2019-12-12 13:53:33',525,2)"
	48321		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48321,'2019-12-12 13:53:33',525,2)"
	48322		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48322,'2019-12-12 13:53:33',525,2)"
	48323		2019-12-12 13:53:33	NULL	525	2		"INSERT INTO [dbo].[HistoryUse] ([DeviceToolId],[HandedDate],[LocationId],[StatusId])VALUES(48323,'2019-12-12 13:53:33',525,2)"
